fish_amount,sim_steps,process_num,thread_num,schedule,duration
2500000,100,2,2,static,3.813454
2500000,100,2,8,static,0.972278
2500000,100,2,32,static,0.292222
2500000,100,2,128,static,2.130982
2500000,100,3,2,static,2.571601
2500000,100,3,8,static,0.659890
2500000,100,3,32,static,0.209147
2500000,100,3,128,static,1.920675
2500000,100,4,2,static,1.921759
2500000,100,4,8,static,0.505953
2500000,100,4,32,static,0.165883
2500000,100,4,128,static,0.087736
2500000,100,2,2,guided,4.197665
2500000,100,2,8,guided,3.117767
2500000,100,2,32,guided,1.456070
2500000,100,2,128,guided,1.372845
2500000,100,3,2,guided,2.699806
2500000,100,3,8,guided,2.081852
2500000,100,3,32,guided,0.926920
2500000,100,3,128,guided,0.933446
2500000,100,4,2,guided,2.140360
2500000,100,4,8,guided,1.624087
2500000,100,4,32,guided,0.583068
2500000,100,4,128,guided,0.647646
2500000,100,2,2,dynamic,36.146318
2500000,100,2,8,dynamic,67.451431
2500000,100,2,32,dynamic,55.765653
2500000,100,2,128,dynamic,20.464079
2500000,100,3,2,dynamic,24.067029
2500000,100,3,8,dynamic,45.874630
2500000,100,3,32,dynamic,37.728630
2500000,100,3,128,dynamic,14.030713
2500000,100,4,2,dynamic,18.034965
2500000,100,4,8,dynamic,33.262186
2500000,100,4,32,dynamic,27.752131
2500000,100,4,128,dynamic,10.371039
